Index,LCSC#,MPN,Manufacturer,Package,,Description,,Quantity,MOQ,Multiple,Unit Price($),Extended Price($),Product Link
1,C401761,EEEFT0J101AR,PANASONIC,"SMD,D4xL5.8mm",,100uF ±20% 6.3V Aluminum Electrolytic Capacitors 2000hrs@105?,,5,5,5,0.2697,1.35,https://www.lcsc.com/product-detail/C401761.html
2,C126521,GCM155C71A105KE38D,muRata,402,,1uF ±10% 10V Ceramic Capacitor X7S 0402,,20,20,20,0.0561,1.12,https://www.lcsc.com/product-detail/C126521.html
3,C1864297,GCM31C5C1H104FA16L,muRata,1206,,100nF ±1% 50V Ceramic Capacitor C0G 1206,,1,1,1,1.1744,1.17,https://www.lcsc.com/product-detail/C1864297.html
4,C559283,C1206X102K202TD,IHHEC,1206,,1nF ±10% 2kV Ceramic Capacitor X7R 1206,,2,1,1,0.018,0.04,https://www.lcsc.com/product-detail/C559283.html
5,C77019,GRM155R71H103KA88D,muRata,402,,10nF ±10% 50V Ceramic Capacitor X7R 0402,,100,100,100,0.0062,0.62,https://www.lcsc.com/product-detail/C77019.html
6,C3892269,GRM1555C1H270JA01J,muRata,402,,27pF ±5% 50V Ceramic Capacitor C0G 0402,,100,100,100,0.0053,0.53,https://www.lcsc.com/product-detail/C3892269.html
7,C2181836,GCM155R71C104JA55D,muRata,402,,100nF ±5% 16V Ceramic Capacitor X7R 0402,,50,50,50,0.0142,0.71,https://www.lcsc.com/product-detail/C2181836.html
8,C882567,GJM1555C1H220FB01D,muRata,402,,22pF ±1% 50V Ceramic Capacitor C0G 0402,,20,20,20,0.0718,1.44,https://www.lcsc.com/product-detail/C882567.html
9,C14445,CL05A105KP5NNNC,Samsung Electro-Mechanics,402,,1uF ±10% 10V Ceramic Capacitor X5R 0402,,100,100,100,0.0103,1.03,https://www.lcsc.com/product-detail/C14445.html
10,C84703,CL05B222KB5NNNC,Samsung Electro-Mechanics,402,,2.2nF ±10% 50V Ceramic Capacitor X7R 0402,,50,50,50,0.0065,0.33,https://www.lcsc.com/product-detail/C84703.html
11,C26404,CL05B332KB5NNNC,Samsung Electro-Mechanics,402,,3.3nF ±10% 50V Ceramic Capacitor X7R 0402,,20,20,20,0.01,0.2,https://www.lcsc.com/product-detail/C26404.html
12,C77000,GRM155R61A106ME44D,muRata,402,,10uF ±20% 10V Ceramic Capacitor X5R 0402,,50,50,50,0.0208,1.04,https://www.lcsc.com/product-detail/C77000.html
13,C52722391,SVC1A151M0505,ROQANG,"SMD,D5xL5.4mm",,"10V ±20% 150uF SMD,D5xL5.4mm Aluminum Electrolytic Capacitors RoHS",,20,20,20,0.0362,0.72,https://www.lcsc.com/product-detail/C52722391.html
14,C161692,BM04B-GHS-TBT(LF)(SN),JST,"SMD,P=1.25mm",,"Connector Header 4 position 1.25mm Pitch 1A Surface Mount,Vertical -25?~+85?",,10,5,5,0.3043,3.04,https://www.lcsc.com/product-detail/C161692.html
15,C597931,DF40C-100DS-0.4V(51),HRS,"SMD,P=0.4mm",,nan,,2,1,1,1.0691,2.14,https://www.lcsc.com/product-detail/C597931.html
16,C2041574,SRN2512-2R2M,BOURNS,1008,,2.3A 2.2uH ±20% 2.7A 102m? 1008 Fixed Inductors RoHS,,5,5,5,0.2889,1.44,https://www.lcsc.com/product-detail/C2041574.html
17,C32677,PSM712-LF-T7,PROTEK,SOT-23,,19VC Clamp 34A@8/20us 30A@8/20us Ipp TVS DIODE SOT-23,,5,5,5,0.3236,1.62,https://www.lcsc.com/product-detail/C32677.html
18,C597981,FH12-22S-0.5SH(55),HRS,"SMD,P=0.5mm,Surface Mount,Right Angle",,"FFC/FPC Connector 22 Position 0.5mm Pitch Bottom Contact Surface Mount, Right Angle -40?~+85?",,1,1,1,3.3552,3.36,https://www.lcsc.com/product-detail/C597981.html
19,C32713248,HX PZ2.0-3x3P ZZ,hanxia,"Through Hole,P=2mm",,"Pin Header 3 2mm 3.9mm -40?~+105? 2.8mm 9P 2mm 1.5A 500V 2mm 3x3P Through Hole,P=2mm Headers, Male Pins RoHS",,5,5,5,0.1152,0.58,https://www.lcsc.com/product-detail/C32713248.html
20,C42431798,PH2.54-1X2P-H25,JXTCONN,"Through Hole,P=2.54mm",,Pin Header 2 Position 2.54mm Pitch Single Row Through Hole -40?~+105?,,50,50,50,0.0144,0.72,https://www.lcsc.com/product-detail/C42431798.html
21,C18305,BLM21PG600SN1D,muRata,805,,60?@100MHz 1 Line Ferrite Bead 0805 3.5A 20m?,,20,20,20,0.0569,1.14,https://www.lcsc.com/product-detail/C18305.html
22,C189893,SM02B-GHS-TB(LF)(SN),JST,"SMD,P=1.25mm,Surface Mount,Right Angle",,"Connector Header 2 position 1.25mm Pitch 1A Surface Mount, Right Angle -25?~+85?",,5,5,5,0.2057,1.03,https://www.lcsc.com/product-detail/C189893.html
23,C965793,XL-1005UGC,XINGLIGHT,402,,Emerald Green 531nm LED Indication - Discrete 3V 0402,,50,50,50,0.0089,0.45,https://www.lcsc.com/product-detail/C965793.html
24,C2844007,16-213/BHC-ZL1M2B6Y/3T,EVERLIGHT,402,,Blue 468nm LED Indication - Discrete 0402,,20,20,20,0.0383,0.77,https://www.lcsc.com/product-detail/C2844007.html
25,C74342,16-219A/T2D-AR2T1QY/3T,EVERLIGHT,402,,White LED Indication - Discrete 2.95V 0402,,20,20,20,0.0387,0.77,https://www.lcsc.com/product-detail/C74342.html
26,C5378721,SK6812SIDE-A,OPSCO Optoelectronics,"SMD-4P,4x1.6mm",,"SMD-4P,4x1.6mm LED Addressable, Specialty RoHS",,5,5,5,0.0908,0.45,https://www.lcsc.com/product-detail/C5378721.html
27,C779449,TZ-P2-0402RTIA1-0.45T,TUOZHAN,402,,Red 633nm LED Indication - Discrete 1.8V~2.4V 0402,,50,50,50,0.0084,0.42,https://www.lcsc.com/product-detail/C779449.html
28,C136118,16-213UYC/S530-A2/TR8,EVERLIGHT,402,,Yellow LED Indication - Discrete 0402,,10,10,10,0.0471,0.47,https://www.lcsc.com/product-detail/C136118.html
29,C189891,BM05B-GHS-TBT(LF)(SN)(N),JST,"SMD,P=1.25mm",,"Connector Header 5 position 1.25mm Pitch 1A Surface Mount,Vertical -25?~+85?",,1,1,1,0.5185,0.52,https://www.lcsc.com/product-detail/C189891.html
30,C20610378,KH-2.0PH180-3X16P-L8.7,kinghelm,"Through Hole,P=2mm",,Pin Header 2mm Pitch Triple Row,,1,1,1,0.4014,0.4,https://www.lcsc.com/product-detail/C20610378.html
31,C916393,SS8550,JSMSEMI,SOT-23,,Bipolar (BJT) Transistor PNP 25V 1.5A 100MHz 300mW Surface Mount SOT-23,,50,50,50,0.0125,0.63,https://www.lcsc.com/product-detail/C916393.html
32,C916375,MMBT3906,JSMSEMI,SOT-23,,Bipolar (BJT) Transistor PNP 40V 200mA 250MHz 250mW Surface Mount SOT-23,,50,50,50,0.0081,0.41,https://www.lcsc.com/product-detail/C916375.html
33,C25180,0402WGJ0750TCE,UNI-ROYAL,402,,75? ±5% 62.5mW 0402 Thick Film Resistor,,100,100,100,0.0007,0.07,https://www.lcsc.com/product-detail/C25180.html
34,C51721,0402WGF3901TCE,UNI-ROYAL,402,,3.9k? ±1% 62.5mW 0402 Thick Film Resistor,,100,100,100,0.0014,0.14,https://www.lcsc.com/product-detail/C51721.html
35,C25867,0402WGF1501TCE,UNI-ROYAL,402,,1.5k? ±1% 62.5mW 0402 Thick Film Resistor,,100,100,100,0.0017,0.17,https://www.lcsc.com/product-detail/C25867.html
36,C4961,0402WGF6200TCE,UNI-ROYAL,402,,620? ±1% 62.5mW 0402 Thick Film Resistor,,100,100,100,0.0013,0.13,https://www.lcsc.com/product-detail/C4961.html
37,C25117,0402WGF4700TCE,UNI-ROYAL,402,,470? ±1% 62.5mW 0402 Thick Film Resistor,,100,100,100,0.0015,0.15,https://www.lcsc.com/product-detail/C25117.html
38,C25765,0402WGF2002TCE,UNI-ROYAL,402,,20k? ±1% 62.5mW 0402 Thick Film Resistor,,50,50,50,0.0303,1.52,https://www.lcsc.com/product-detail/C25765.html
39,C25079,0402WGF1200TCE,UNI-ROYAL,402,,120? ±1% 62.5mW 0402 Thick Film Resistor,,100,100,100,0.0019,0.19,https://www.lcsc.com/product-detail/C25079.html
40,C965188,NQ02WGJ0750TCE,UNI-ROYAL,402,,75? ±5% 62.5mW 0402 Thick Film Resistor AEC-Q200,,100,100,100,0.0015,0.15,https://www.lcsc.com/product-detail/C965188.html
41,C25087,0402WGF2000TCE,UNI-ROYAL,402,,200? ±1% 62.5mW 0402 Thick Film Resistor,,100,100,100,0.0076,0.76,https://www.lcsc.com/product-detail/C25087.html
42,C966709,CQ02WGJ0105TCE,UNI-ROYAL,402,,1M? ±5% 62.5mW 0402 Thick Film Resistor AEC-Q200,,100,100,100,0.0007,0.07,https://www.lcsc.com/product-detail/C966709.html
